orgao,mes,ds_fonte_recurso,ds_cd_aplicacao_fixo,ds_alinea,ds_subalinea,vl_arrecadacao,cidade,ano
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,17213300 - TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE - SUS - REPASSE FUNDO A FUNDO,NA,"448,74",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,100 - GERAL TOTAL,24729900 - OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS DOS ESTADOS,NA,"21.333,55",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,05 - TRANSFERÊNCIAS E CONVÊNIOS FEDERAIS-VINCULADOS,100 - GERAL TOTAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"92,91",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,17212200 - TRANSFERÊNCIAS DA COMPENSAÇÃO FINANCEIRA PELA EXPLORAÇÃO DE RECURSOS NATURAIS,"17212250 - COTA-PARTE ROYALTIES PELA PARTICIPAÇÃO ESPECIAL - LEI Nº 9.478/97, ART. 50","8.138,26",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,19159900 - OUTRAS MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DE OUTRAS RECEITAS,19159901 - OUTRAS MULTAS E JUROS DE MORA DA DÍVIDA ATIVA DE OUTRAS RECEITAS - PRINCIPAL,"352,02",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,100 - GERAL TOTAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"200,98",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,02 - TRANSFERÊNCIAS E CONVÊNIOS ESTADUAIS-VINCULADOS,300 - SAÚDE - RECURSOS ESPECÍFICOS,17223300 - TRANSFERÊNCIA DE RECURSOS DO ESTADO PARA PROGRAMAS DE SAÚDE - REPASSE FUNDO A FUNDO,NA,"546,20",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,13250100 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS VINCULADOS,13250199 - RECEITA DE REMUNERAÇÃO DE OUTROS DEPÓSITOS BANCÁRIOS DE RECURSOS VINCULADOS,"0,41",parisi,2014
PREFEITURA MUNICIPAL DE PARISI,Janeiro,01 - TESOURO,110 - GERAL,13250200 - REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS,13250299 - REMUNERAÇÃO DE OUTROS DEPÓSITOS DE RECURSOS NÃO VINCULADOS,"661,21",parisi,2014
FUNDO MUNICIPAL DE SEGURIDADE SOCIAL - PARISI,Janeiro,03 - RECURSOS PRÓPRIOS DE FUNDOS ESPECIAIS DE DESPESA-VINCULADOS,600 - RPPS - RECURSOS ESPECÍFICOS - OUTRAS FONTES,72102900 - CONTRIBUIÇÕES PARA O REGIME PRÓPRIO DE PREVIDÊNCIA DO SERVIDOR PÚBLICO - INTRA-ORÇAMENTÁRIAS,72102901 - CONTRIBUIÇÃO PATRONAL PARA O REGIME PRÓPRIO DE PREVIDÊNCIA - INTRA-ORÇAMENTÁRIAS,"21.427,61",parisi,2014
